symbol,name,price,marketcap,year,industry,description,linkToSmth,smthing,keywords,enhanced_description
KYMR,"Kymera Therapeutics, Inc.",79.17,$3.52B,2020.0,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://old.nasdaq.com/symbol/kymr,,"FDA approval, clinical trials, monoclonal antibodies, gene therapy, cell therapy, manufacturing scale-up, bioprocessing, partnerships, licensing, patent","Biotechnology: Biological Products (No Diagnostic Substances) FDA approval, clinical trials, monoclonal antibodies, gene therapy, cell therapy, manufacturing scale-up, bioprocessing, partnerships, licensing, patent"
FSTR,L.B. Foster Company,15.55,$167.1M,,Basic Industries,Metal Fabrications,https://old.nasdaq.com/symbol/fstr,,"manufacturing, fabrication, steel, aluminum, welding, automation, machinery, contracts, expansion, safety","Metal Fabrications manufacturing, fabrication, steel, aluminum, welding, automation, machinery, contracts, expansion, safety"
LJPC,La Jolla Pharmaceutical Company,5.51,$150.87M,1994.0,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://old.nasdaq.com/symbol/ljpc,,"FDA approval, clinical trials, monoclonal antibodies, gene therapy, cell therapy, manufacturing scale-up, bioprocessing, partnerships, licensing, patent","Biotechnology: Biological Products (No Diagnostic Substances) FDA approval, clinical trials, monoclonal antibodies, gene therapy, cell therapy, manufacturing scale-up, bioprocessing, partnerships, licensing, patent"
LSBK,"Lake Shore Bancorp, Inc.",13.2153,$77.02M,,Finance,Savings Institutions,https://old.nasdaq.com/symbol/lsbk,,"deposits, interest rates, loans, regulation, fdic, earnings, mergers, digital banking, mortgage rates, liquidity","Savings Institutions deposits, interest rates, loans, regulation, fdic, earnings, mergers, digital banking, mortgage rates, liquidity"
LBAI,"Lakeland Bancorp, Inc.",13.61,$686.88M,,Finance,Major Banks,https://old.nasdaq.com/symbol/lbai,,"earnings, interest rates, regulation, capital adequacy, liquidity, loan losses, mergers, acquisitions, Basel III, fintech","Major Banks earnings, interest rates, regulation, capital adequacy, liquidity, loan losses, mergers, acquisitions, Basel III, fintech"
LKFN,Lakeland Financial Corporation,59.96,$1.54B,,Finance,Major Banks,https://old.nasdaq.com/symbol/lkfn,,"earnings, interest rates, regulation, capital adequacy, liquidity, loan losses, mergers, acquisitions, Basel III, fintech","Major Banks earnings, interest rates, regulation, capital adequacy, liquidity, loan losses, mergers, acquisitions, Basel III, fintech"
LAKE,"Lakeland Industries, Inc.",27.17,$217.9M,1986.0,Health Care,Industrial Specialties,https://old.nasdaq.com/symbol/lake,,"manufacturing, industrials, supply-chain, earnings, acquisition, expansion, regulation, leadership, contracts, sustainability","Industrial Specialties manufacturing, industrials, supply-chain, earnings, acquisition, expansion, regulation, leadership, contracts, sustainability"
LRCX,Lam Research Corporation,563.85,$81.2B,1984.0,Technology,Industrial Machinery/Components,https://old.nasdaq.com/symbol/lrcx,,"automation, robotics, CNC, machining, transmission, gearboxes, bearings, integration, maintenance, efficiency","Industrial Machinery/Components automation, robotics, CNC, machining, transmission, gearboxes, bearings, integration, maintenance, efficiency"
LAMR,Lamar Advertising Company,83.67,$8.44B,1996.0,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/lamr,,"dividends, occupancy, leasing, acquisitions, financing, earnings, portfolio, development, rents, refinancing","Real Estate Investment Trusts dividends, occupancy, leasing, acquisitions, financing, earnings, portfolio, development, rents, refinancing"
LANC,Lancaster Colony Corporation,174.46,$4.8B,,Consumer Non-Durables,Packaged Foods,https://old.nasdaq.com/symbol/lanc,,"earnings, recall, supply chain, sustainability, packaging, pricing, acquisitions, reformulation, product launch, inflation","Packaged Foods earnings, recall, supply chain, sustainability, packaging, pricing, acquisitions, reformulation, product launch, inflation"
LCY,"Landcadia Holdings III, Inc.",10.52,$677.23M,2020.0,Technology,Computer Software: Prepackaged Software,https://old.nasdaq.com/symbol/lcy,,"acquisition, revenue, licensing, cloud, on-premises, AI, security, update, merger, partnership","Computer Software: Prepackaged Software acquisition, revenue, licensing, cloud, on-premises, AI, security, update, merger, partnership"
LCYAU,"Landcadia Holdings III, Inc.",11.13,,2020.0,Finance,Business Services,https://old.nasdaq.com/symbol/lcyau,,"revenue, earnings, acquisition, merger, partnership, outsourcing, consulting, cloud, growth, strategy","Business Services revenue, earnings, acquisition, merger, partnership, outsourcing, consulting, cloud, growth, strategy"
LCYAW,"Landcadia Holdings III, Inc.",2.08,,2020.0,Finance,Business Services,https://old.nasdaq.com/symbol/lcyaw,,"revenue, earnings, acquisition, merger, partnership, outsourcing, consulting, cloud, growth, strategy","Business Services revenue, earnings, acquisition, merger, partnership, outsourcing, consulting, cloud, growth, strategy"
LNDC,Landec Corporation,11.315,$331.79M,1996.0,Consumer Non-Durables,Packaged Foods,https://old.nasdaq.com/symbol/lndc,,"earnings, recall, supply chain, sustainability, packaging, pricing, acquisitions, reformulation, product launch, inflation","Packaged Foods earnings, recall, supply chain, sustainability, packaging, pricing, acquisitions, reformulation, product launch, inflation"
LARK,Landmark Bancorp Inc.,24.0,$113.68M,,Finance,Major Banks,https://old.nasdaq.com/symbol/lark,,"earnings, interest rates, regulation, capital adequacy, liquidity, loan losses, mergers, acquisitions, Basel III, fintech","Major Banks earnings, interest rates, regulation, capital adequacy, liquidity, loan losses, mergers, acquisitions, Basel III, fintech"
LMRK,Landmark Infrastructure Partners LP,12.29,$313.13M,2014.0,Consumer Services,Real Estate,https://old.nasdaq.com/symbol/lmrk,,"acquisition, development, financing, leasing, portfolio, construction, valuations, occupancy, sales, milestones","Real Estate acquisition, development, financing, leasing, portfolio, construction, valuations, occupancy, sales, milestones"
LMRKN,Landmark Infrastructure Partners LP,25.945,,,Consumer Services,Real Estate,https://old.nasdaq.com/symbol/lmrkn,,"acquisition, development, financing, leasing, portfolio, construction, valuations, occupancy, sales, milestones","Real Estate acquisition, development, financing, leasing, portfolio, construction, valuations, occupancy, sales, milestones"
LMRKO,Landmark Infrastructure Partners LP,25.56,,,Consumer Services,Real Estate,https://old.nasdaq.com/symbol/lmrko,,"acquisition, development, financing, leasing, portfolio, construction, valuations, occupancy, sales, milestones","Real Estate acquisition, development, financing, leasing, portfolio, construction, valuations, occupancy, sales, milestones"
LMRKP,Landmark Infrastructure Partners LP,25.1762,,,Consumer Services,Real Estate,https://old.nasdaq.com/symbol/lmrkp,,"acquisition, development, financing, leasing, portfolio, construction, valuations, occupancy, sales, milestones","Real Estate acquisition, development, financing, leasing, portfolio, construction, valuations, occupancy, sales, milestones"
LE,"Lands&#39; End, Inc.",29.99,$977.91M,,Consumer Services,Clothing/Shoe/Accessory Stores,https://old.nasdaq.com/symbol/le,,"retail, fashion, store openings, earnings, e-commerce, supply chain, inventory, partnerships, closures, markdowns","Clothing/Shoe/Accessory Stores retail, fashion, store openings, earnings, e-commerce, supply chain, inventory, partnerships, closures, markdowns"
LSEA,Landsea Homes Corporation,10.05,$464.62M,2018.0,Capital Goods,Homebuilding,https://old.nasdaq.com/symbol/lsea,,"housing starts, new-home orders, order backlog, construction costs, permits, mortgage rates, housing demand, labor shortages, gross margin, earnings","Homebuilding housing starts, new-home orders, order backlog, construction costs, permits, mortgage rates, housing demand, labor shortages, gross margin, earnings"
LSEAW,Landsea Homes Corporation,0.272,,2018.0,Capital Goods,Homebuilding,https://old.nasdaq.com/symbol/lseaw,,"housing starts, new-home orders, order backlog, construction costs, permits, mortgage rates, housing demand, labor shortages, gross margin, earnings","Homebuilding housing starts, new-home orders, order backlog, construction costs, permits, mortgage rates, housing demand, labor shortages, gross margin, earnings"
LSTR,"Landstar System, Inc.",152.37,$5.85B,1993.0,Transportation,Trucking Freight/Courier Services,https://old.nasdaq.com/symbol/lstr,,"logistics, freight, courier, delivery, fleet, driver shortage, rates, regulation, safety, earnings","Trucking Freight/Courier Services logistics, freight, courier, delivery, fleet, driver shortage, rates, regulation, safety, earnings"
LTRN,Lantern Pharma Inc.,15.41,$95.81M,2020.0,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/ltrn,,"FDA approval, clinical trial, trial results, patent expiration, drug pricing, earnings, regulatory filing, acquisition, recall, pipeline","Major Pharmaceuticals FDA approval, clinical trial, trial results, patent expiration, drug pricing, earnings, regulatory filing, acquisition, recall, pipeline"
LNTH,"Lantheus Holdings, Inc.",15.96,$1.07B,2015.0,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,https://old.nasdaq.com/symbol/lnth,,"biotechnology, diagnostics, in vitro, in vivo, biomarkers, assays, clinical trials, regulatory, FDA, partnerships","Biotechnology: In Vitro & In Vivo Diagnostic Substances biotechnology, diagnostics, in vitro, in vivo, biomarkers, assays, clinical trials, regulatory, FDA, partnerships"
LTRX,"Lantronix, Inc.",4.71,$134.66M,2000.0,Technology,Computer Communications Equipment,https://old.nasdaq.com/symbol/ltrx,,"network equipment, telecommunications, data center, product launch, partnerships, supply chain, earnings, acquisitions, 5G, cybersecurity","Computer Communications Equipment network equipment, telecommunications, data center, product launch, partnerships, supply chain, earnings, acquisitions, 5G, cybersecurity"
LRMR,"Larimar Therapeutics, Inc.",17.75,$272.57M,2014.0,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/lrmr,,"FDA approval, clinical trial, trial results, patent expiration, drug pricing, earnings, regulatory filing, acquisition, recall, pipeline","Major Pharmaceuticals FDA approval, clinical trial, trial results, patent expiration, drug pricing, earnings, regulatory filing, acquisition, recall, pipeline"
LSCC,Lattice Semiconductor Corporation,43.51,$5.92B,,Technology,Semiconductors,https://old.nasdaq.com/symbol/lscc,,"semiconductors, foundry, wafers, revenue, supply chain, AI chips, process node, lithography, capital expenditure, mergers","Semiconductors semiconductors, foundry, wafers, revenue, supply chain, AI chips, process node, lithography, capital expenditure, mergers"
LAUR,"Laureate Education, Inc.",13.84,$2.91B,2017.0,Consumer Services,Other Consumer Services,https://old.nasdaq.com/symbol/laur,,"earnings, revenue, same-store-sales, guidance, acquisitions, partnerships, regulation, store openings, online-sales, margins","Other Consumer Services earnings, revenue, same-store-sales, guidance, acquisitions, partnerships, regulation, store openings, online-sales, margins"
LAWS,"Lawson Products, Inc.",51.62,$466.15M,,Consumer Durables,Industrial Specialties,https://old.nasdaq.com/symbol/laws,,"manufacturing, industrials, supply-chain, earnings, acquisition, expansion, regulation, leadership, contracts, sustainability","Industrial Specialties manufacturing, industrials, supply-chain, earnings, acquisition, expansion, regulation, leadership, contracts, sustainability"
LAZY,"Lazydays Holdings, Inc.",19.36,$182.99M,,Consumer Durables,Automotive Aftermarket,https://old.nasdaq.com/symbol/lazy,,"autoparts, aftermarket, distribution, ecommerce, earnings, supplychain, partnerships, acquisitions, pricing, regulation","Automotive Aftermarket autoparts, aftermarket, distribution, ecommerce, earnings, supplychain, partnerships, acquisitions, pricing, regulation"
LCNB,LCNB Corporation,15.42,$198.59M,,Finance,Major Banks,https://old.nasdaq.com/symbol/lcnb,,"earnings, interest rates, regulation, capital adequacy, liquidity, loan losses, mergers, acquisitions, Basel III, fintech","Major Banks earnings, interest rates, regulation, capital adequacy, liquidity, loan losses, mergers, acquisitions, Basel III, fintech"
LPTX,"LEAP THERAPEUTICS, INC.",2.48,$147.95M,,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/lptx,,"FDA approval, clinical trial, trial results, patent expiration, drug pricing, earnings, regulatory filing, acquisition, recall, pipeline","Major Pharmaceuticals FDA approval, clinical trial, trial results, patent expiration, drug pricing, earnings, regulatory filing, acquisition, recall, pipeline"
LFTR,Lefteris Acquisition Corp.,11.09,$287.09M,2020.0,Finance,Business Services,https://old.nasdaq.com/symbol/lftr,,"revenue, earnings, acquisition, merger, partnership, outsourcing, consulting, cloud, growth, strategy","Business Services revenue, earnings, acquisition, merger, partnership, outsourcing, consulting, cloud, growth, strategy"
LFTRU,Lefteris Acquisition Corp.,11.69,,2020.0,Finance,Business Services,https://old.nasdaq.com/symbol/lftru,,"revenue, earnings, acquisition, merger, partnership, outsourcing, consulting, cloud, growth, strategy","Business Services revenue, earnings, acquisition, merger, partnership, outsourcing, consulting, cloud, growth, strategy"
LFTRW,Lefteris Acquisition Corp.,2.3,,2020.0,Finance,Business Services,https://old.nasdaq.com/symbol/lftrw,,"revenue, earnings, acquisition, merger, partnership, outsourcing, consulting, cloud, growth, strategy","Business Services revenue, earnings, acquisition, merger, partnership, outsourcing, consulting, cloud, growth, strategy"
LEGH,Legacy Housing Corporation,15.36,$371.59M,2018.0,Basic Industries,Homebuilding,https://old.nasdaq.com/symbol/legh,,"housing starts, new-home orders, order backlog, construction costs, permits, mortgage rates, housing demand, labor shortages, gross margin, earnings","Homebuilding housing starts, new-home orders, order backlog, construction costs, permits, mortgage rates, housing demand, labor shortages, gross margin, earnings"
LEGOU,Legato Merger Corp.,10.44,,2021.0,Finance,Business Services,https://old.nasdaq.com/symbol/legou,,"revenue, earnings, acquisition, merger, partnership, outsourcing, consulting, cloud, growth, strategy","Business Services revenue, earnings, acquisition, merger, partnership, outsourcing, consulting, cloud, growth, strategy"
LEGN,Legend Biotech Corporation,27.35,$3.53B,2020.0,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/legn,,"FDA approval, clinical trial, trial results, patent expiration, drug pricing, earnings, regulatory filing, acquisition, recall, pipeline","Major Pharmaceuticals FDA approval, clinical trial, trial results, patent expiration, drug pricing, earnings, regulatory filing, acquisition, recall, pipeline"
INFR,Legg Mason Global Infrastructure ETF,29.7658,,,,,https://old.nasdaq.com/symbol/infr,,, 
LVHD,Legg Mason Low Volatility High Dividend ETF,32.68,,,,,https://old.nasdaq.com/symbol/lvhd,,, 
SQLV,Legg Mason Small-Cap Quality Value ETF,32.7476,,,,,https://old.nasdaq.com/symbol/sqlv,,, 
LACQ,Leisure Acquisition Corp.,12.76,$79.91M,2017.0,Finance,Business Services,https://old.nasdaq.com/symbol/lacq,,"revenue, earnings, acquisition, merger, partnership, outsourcing, consulting, cloud, growth, strategy","Business Services revenue, earnings, acquisition, merger, partnership, outsourcing, consulting, cloud, growth, strategy"
LACQU,Leisure Acquisition Corp.,13.0,,2017.0,Finance,Business Services,https://old.nasdaq.com/symbol/lacqu,,"revenue, earnings, acquisition, merger, partnership, outsourcing, consulting, cloud, growth, strategy","Business Services revenue, earnings, acquisition, merger, partnership, outsourcing, consulting, cloud, growth, strategy"
LACQW,Leisure Acquisition Corp.,1.05,,2017.0,Finance,Business Services,https://old.nasdaq.com/symbol/lacqw,,"revenue, earnings, acquisition, merger, partnership, outsourcing, consulting, cloud, growth, strategy","Business Services revenue, earnings, acquisition, merger, partnership, outsourcing, consulting, cloud, growth, strategy"
LMAT,"LeMaitre Vascular, Inc.",45.43,$924.14M,2006.0,Health Care,Medical/Dental Instruments,https://old.nasdaq.com/symbol/lmat,,"dental instruments, medical devices, sterilization, fda clearance, regulatory approval, implants, surgical tools, robotics, infection control, market growth","Medical/Dental Instruments dental instruments, medical devices, sterilization, fda clearance, regulatory approval, implants, surgical tools, robotics, infection control, market growth"
TREE,"LendingTree, Inc.",318.04,$4.17B,,Finance,Finance: Consumer Services,https://old.nasdaq.com/symbol/tree,,"earnings, revenue, guidance, loans, credit cards, fintech, acquisitions, regulation, dividends, market share","Finance: Consumer Services earnings, revenue, guidance, loans, credit cards, fintech, acquisitions, regulation, dividends, market share"
LNSR,"LENSAR, Inc.",6.59,$70.11M,,Health Care,Medical/Dental Instruments,https://old.nasdaq.com/symbol/lnsr,,"dental instruments, medical devices, sterilization, fda clearance, regulatory approval, implants, surgical tools, robotics, infection control, market growth","Medical/Dental Instruments dental instruments, medical devices, sterilization, fda clearance, regulatory approval, implants, surgical tools, robotics, infection control, market growth"
LESL,"Leslie&#39;s, Inc.",28.28,$5.28B,2020.0,Consumer Services,Other Specialty Stores,https://old.nasdaq.com/symbol/lesl,,"retailer, earnings, expansion, margins, acquisitions, franchises, store-openings, online-sales, supply-chain, consumer","Other Specialty Stores retailer, earnings, expansion, margins, acquisitions, franchises, store-openings, online-sales, supply-chain, consumer"
LEVL,"Level One Bancorp, Inc.",20.78,$160.72M,2018.0,Finance,Major Banks,https://old.nasdaq.com/symbol/levl,,"earnings, interest rates, regulation, capital adequacy, liquidity, loan losses, mergers, acquisitions, Basel III, fintech","Major Banks earnings, interest rates, regulation, capital adequacy, liquidity, loan losses, mergers, acquisitions, Basel III, fintech"
LEVLP,"Level One Bancorp, Inc.",26.85,,,Finance,Major Banks,https://old.nasdaq.com/symbol/levlp,,"earnings, interest rates, regulation, capital adequacy, liquidity, loan losses, mergers, acquisitions, Basel III, fintech","Major Banks earnings, interest rates, regulation, capital adequacy, liquidity, loan losses, mergers, acquisitions, Basel III, fintech"
LEXX,Lexaria Bioscience Corp.,4.26,$21.74M,,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/lexx,,"FDA approval, clinical trial, trial results, patent expiration, drug pricing, earnings, regulatory filing, acquisition, recall, pipeline","Major Pharmaceuticals FDA approval, clinical trial, trial results, patent expiration, drug pricing, earnings, regulatory filing, acquisition, recall, pipeline"
LEXXW,Lexaria Bioscience Corp.,2.16,,,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/lexxw,,"FDA approval, clinical trial, trial results, patent expiration, drug pricing, earnings, regulatory filing, acquisition, recall, pipeline","Major Pharmaceuticals FDA approval, clinical trial, trial results, patent expiration, drug pricing, earnings, regulatory filing, acquisition, recall, pipeline"
LXRX,"Lexicon Pharmaceuticals, Inc.",8.51,$1.2B,,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/lxrx,,"FDA approval, clinical trial, trial results, patent expiration, drug pricing, earnings, regulatory filing, acquisition, recall, pipeline","Major Pharmaceuticals FDA approval, clinical trial, trial results, patent expiration, drug pricing, earnings, regulatory filing, acquisition, recall, pipeline"
LX,LexinFintech Holdings Ltd.,6.6,$1.19B,2017.0,Finance,Finance: Consumer Services,https://old.nasdaq.com/symbol/lx,,"earnings, revenue, guidance, loans, credit cards, fintech, acquisitions, regulation, dividends, market share","Finance: Consumer Services earnings, revenue, guidance, loans, credit cards, fintech, acquisitions, regulation, dividends, market share"
LGIH,"LGI Homes, Inc.",110.6,$2.78B,2013.0,Capital Goods,Homebuilding,https://old.nasdaq.com/symbol/lgih,,"housing starts, new-home orders, order backlog, construction costs, permits, mortgage rates, housing demand, labor shortages, gross margin, earnings","Homebuilding housing starts, new-home orders, order backlog, construction costs, permits, mortgage rates, housing demand, labor shortages, gross margin, earnings"
LHCG,LHC Group,218.17,$6.89B,2005.0,Health Care,Medical/Nursing Services,https://old.nasdaq.com/symbol/lhcg,,"home health, patient outcomes, nurse staffing, regulatory compliance, Medicare, accreditation, infection control, telehealth, electronic health records, data privacy","Medical/Nursing Services home health, patient outcomes, nurse staffing, regulatory compliance, Medicare, accreditation, infection control, telehealth, electronic health records, data privacy"
LI,Li Auto Inc.,34.44,$30.91B,2020.0,Capital Goods,Auto Manufacturing,https://old.nasdaq.com/symbol/li,,"electric vehicles, batteries, supply chain, recalls, production, automation, tariffs, labor unions, profitability, incentives","Auto Manufacturing electric vehicles, batteries, supply chain, recalls, production, automation, tariffs, labor unions, profitability, incentives"
LLIT,Lianluo Smart Limited,5.94,$2.67M,,Consumer Services,Other Specialty Stores,https://old.nasdaq.com/symbol/llit,,"retailer, earnings, expansion, margins, acquisitions, franchises, store-openings, online-sales, supply-chain, consumer","Other Specialty Stores retailer, earnings, expansion, margins, acquisitions, franchises, store-openings, online-sales, supply-chain, consumer"
LBRDA,Liberty Broadband Corporation,153.65,$36.86B,,Consumer Services,Television Services,https://old.nasdaq.com/symbol/lbrda,,"streaming, content, distribution, subscribers, advertising, ratings, partnerships, acquisitions, mergers, investments","Television Services streaming, content, distribution, subscribers, advertising, ratings, partnerships, acquisitions, mergers, investments"
LBRDK,Liberty Broadband Corporation,154.57,$37.08B,,Consumer Services,Television Services,https://old.nasdaq.com/symbol/lbrdk,,"streaming, content, distribution, subscribers, advertising, ratings, partnerships, acquisitions, mergers, investments","Television Services streaming, content, distribution, subscribers, advertising, ratings, partnerships, acquisitions, mergers, investments"
LBRDP,Liberty Broadband Corporation,28.3,,,Public Utilities,Telecommunications Equipment,https://old.nasdaq.com/symbol/lbrdp,,"5G, 6G, routers, switches, fiber, spectrum, deployments, earnings, capex, supply chain","Telecommunications Equipment 5G, 6G, routers, switches, fiber, spectrum, deployments, earnings, capex, supply chain"
LBTYA,Liberty Global plc,25.14,$14.66B,,,,https://old.nasdaq.com/symbol/lbtya,,, 
LBTYB,Liberty Global plc,24.92,$14.53B,,Consumer Services,Television Services,https://old.nasdaq.com/symbol/lbtyb,,"streaming, content, distribution, subscribers, advertising, ratings, partnerships, acquisitions, mergers, investments","Television Services streaming, content, distribution, subscribers, advertising, ratings, partnerships, acquisitions, mergers, investments"
LBTYK,Liberty Global plc,24.79,$14.46B,,,,https://old.nasdaq.com/symbol/lbtyk,,, 
LILA,Liberty Latin America Ltd.,10.98,$2.55B,,Consumer Services,Television Services,https://old.nasdaq.com/symbol/lila,,"streaming, content, distribution, subscribers, advertising, ratings, partnerships, acquisitions, mergers, investments","Television Services streaming, content, distribution, subscribers, advertising, ratings, partnerships, acquisitions, mergers, investments"
LILAK,Liberty Latin America Ltd.,10.72,$2.49B,,Consumer Services,Television Services,https://old.nasdaq.com/symbol/lilak,,"streaming, content, distribution, subscribers, advertising, ratings, partnerships, acquisitions, mergers, investments","Television Services streaming, content, distribution, subscribers, advertising, ratings, partnerships, acquisitions, mergers, investments"
LMACU,Liberty Media Acquisition Corporation,12.75,,,,,https://old.nasdaq.com/symbol/lmacu,,, 
BATRA,Liberty Media Corporation,26.1,$1.34B,,Consumer Services,Broadcasting,https://old.nasdaq.com/symbol/batra,,"ratings, streaming, advertising, licensing, regulation, acquisitions, earnings, partnerships, content, platforms","Broadcasting ratings, streaming, advertising, licensing, regulation, acquisitions, earnings, partnerships, content, platforms"
BATRK,Liberty Media Corporation,25.74,$1.32B,,Consumer Services,Broadcasting,https://old.nasdaq.com/symbol/batrk,,"ratings, streaming, advertising, licensing, regulation, acquisitions, earnings, partnerships, content, platforms","Broadcasting ratings, streaming, advertising, licensing, regulation, acquisitions, earnings, partnerships, content, platforms"
FWONA,Liberty Media Corporation,36.67,$8.5B,,Consumer Services,Broadcasting,https://old.nasdaq.com/symbol/fwona,,"ratings, streaming, advertising, licensing, regulation, acquisitions, earnings, partnerships, content, platforms","Broadcasting ratings, streaming, advertising, licensing, regulation, acquisitions, earnings, partnerships, content, platforms"
FWONK,Liberty Media Corporation,40.63,$9.42B,,Consumer Services,Broadcasting,https://old.nasdaq.com/symbol/fwonk,,"ratings, streaming, advertising, licensing, regulation, acquisitions, earnings, partnerships, content, platforms","Broadcasting ratings, streaming, advertising, licensing, regulation, acquisitions, earnings, partnerships, content, platforms"
LSXMA,Liberty Media Corporation,40.53,$13.79B,,Consumer Services,Broadcasting,https://old.nasdaq.com/symbol/lsxma,,"ratings, streaming, advertising, licensing, regulation, acquisitions, earnings, partnerships, content, platforms","Broadcasting ratings, streaming, advertising, licensing, regulation, acquisitions, earnings, partnerships, content, platforms"
LSXMB,Liberty Media Corporation,43.0,$14.64B,,Consumer Services,Broadcasting,https://old.nasdaq.com/symbol/lsxmb,,"ratings, streaming, advertising, licensing, regulation, acquisitions, earnings, partnerships, content, platforms","Broadcasting ratings, streaming, advertising, licensing, regulation, acquisitions, earnings, partnerships, content, platforms"
LSXMK,Liberty Media Corporation,40.38,$13.74B,,Consumer Services,Broadcasting,https://old.nasdaq.com/symbol/lsxmk,,"ratings, streaming, advertising, licensing, regulation, acquisitions, earnings, partnerships, content, platforms","Broadcasting ratings, streaming, advertising, licensing, regulation, acquisitions, earnings, partnerships, content, platforms"
LTRPA,"Liberty TripAdvisor Holdings, Inc.",4.42,$332.03M,,Technology,EDP Services,https://old.nasdaq.com/symbol/ltrpa,,"energy, electricity, renewables, EDP, Portugal, investments, acquisitions, partnerships, earnings, regulators","EDP Services energy, electricity, renewables, EDP, Portugal, investments, acquisitions, partnerships, earnings, regulators"
LTRPB,"Liberty TripAdvisor Holdings, Inc.",33.5,$2.52B,,Technology,EDP Services,https://old.nasdaq.com/symbol/ltrpb,,"energy, electricity, renewables, EDP, Portugal, investments, acquisitions, partnerships, earnings, regulators","EDP Services energy, electricity, renewables, EDP, Portugal, investments, acquisitions, partnerships, earnings, regulators"
LSAQ,LifeSci Acquisition II Corp.,11.15,$113.34M,2020.0,Finance,Business Services,https://old.nasdaq.com/symbol/lsaq,,"revenue, earnings, acquisition, merger, partnership, outsourcing, consulting, cloud, growth, strategy","Business Services revenue, earnings, acquisition, merger, partnership, outsourcing, consulting, cloud, growth, strategy"
LCUT,"Lifetime Brands, Inc.",15.86,$345.24M,1991.0,Capital Goods,Industrial Machinery/Components,https://old.nasdaq.com/symbol/lcut,,"automation, robotics, CNC, machining, transmission, gearboxes, bearings, integration, maintenance, efficiency","Industrial Machinery/Components automation, robotics, CNC, machining, transmission, gearboxes, bearings, integration, maintenance, efficiency"
LFVN,Lifevantage Corporation,9.255,$132.01M,,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/lfvn,,"FDA approval, clinical trial, trial results, patent expiration, drug pricing, earnings, regulatory filing, acquisition, recall, pipeline","Major Pharmaceuticals FDA approval, clinical trial, trial results, patent expiration, drug pricing, earnings, regulatory filing, acquisition, recall, pipeline"
LWAY,"Lifeway Foods, Inc.",6.14,$95.81M,,Consumer Non-Durables,Packaged Foods,https://old.nasdaq.com/symbol/lway,,"earnings, recall, supply chain, sustainability, packaging, pricing, acquisitions, reformulation, product launch, inflation","Packaged Foods earnings, recall, supply chain, sustainability, packaging, pricing, acquisitions, reformulation, product launch, inflation"
LGND,Ligand Pharmaceuticals Incorporated,142.62,$2.29B,,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/lgnd,,"FDA approval, clinical trial, trial results, patent expiration, drug pricing, earnings, regulatory filing, acquisition, recall, pipeline","Major Pharmaceuticals FDA approval, clinical trial, trial results, patent expiration, drug pricing, earnings, regulatory filing, acquisition, recall, pipeline"
LTBR,Lightbridge Corporation,6.84,$38.52M,,Consumer Services,Professional Services,https://old.nasdaq.com/symbol/ltbr,,"consulting, digital transformation, acquisition, merger, revenue growth, cloud services, data analytics, regulatory compliance, talent acquisition, strategic partnerships","Professional Services consulting, digital transformation, acquisition, merger, revenue growth, cloud services, data analytics, regulatory compliance, talent acquisition, strategic partnerships"
LJAQU,LightJump Acquisition Corporation,10.41,,2021.0,Finance,Business Services,https://old.nasdaq.com/symbol/ljaqu,,"revenue, earnings, acquisition, merger, partnership, outsourcing, consulting, cloud, growth, strategy","Business Services revenue, earnings, acquisition, merger, partnership, outsourcing, consulting, cloud, growth, strategy"
LPTH,"LightPath Technologies, Inc.",4.12,$107.57M,1996.0,Technology,Semiconductors,https://old.nasdaq.com/symbol/lpth,,"semiconductors, foundry, wafers, revenue, supply chain, AI chips, process node, lithography, capital expenditure, mergers","Semiconductors semiconductors, foundry, wafers, revenue, supply chain, AI chips, process node, lithography, capital expenditure, mergers"
LMB,"Limbach Holdings, Inc.",15.69,$124.36M,,Basic Industries,Engineering & Construction,https://old.nasdaq.com/symbol/lmb,,"infrastructure, contracts, bidding, projects, safety, procurement, financing, milestones, regulatory, sustainability","Engineering & Construction infrastructure, contracts, bidding, projects, safety, procurement, financing, milestones, regulatory, sustainability"
LLNW,"Limelight Networks, Inc.",4.55,$559.53M,2007.0,Miscellaneous,Business Services,https://old.nasdaq.com/symbol/llnw,,"revenue, earnings, acquisition, merger, partnership, outsourcing, consulting, cloud, growth, strategy","Business Services revenue, earnings, acquisition, merger, partnership, outsourcing, consulting, cloud, growth, strategy"
